Ваша крепость слаба - хотите ли её укрепить? 1)Нет: 0 -5 -5 0 ; 2)Да: 0 0 10 -10 Эффект: отсутствует
Восточные баронства снова обьявили войну и люди бегут через границу. 1)Приютить беженцев: -10 -10 -10 10 ; 2)Закрыть границу: 0 0 -20 -10 Эффект: отсутствует
Новые сельскохозяйственные технологии значительно увеличили урожайность! Что делать с доходом? 1)Оставить себе: 0 0 0 30 ; 2)Поделиться: 10 10 10 0 Эффект: отсутствует
Дать церкви восстановить божественное правосудие в стране. Папа готов заплатить! 1)Нет: -20 10 10 -10 ; 2)Да: 20 0 0 20 Эффект: отсутствует
Народ из дальний деревни учит своих детей плеваться в людей Короля. Не подать ли им пример? 1)Нет: 0 10 0 0 ; 2)Да: 10 -10 0 0 Эффект: отсутствует
Милорд, солдаты умудрились выпустить льва на улицы столицы столицы. Это ад кромешный! 1)Закрыть ворота замка: 0 -20 10 0 ; 2)Послать армию: 0 0 -20 0 Эффект: отсутствует
Шахтеры отказываются спускаться в шахту. Они хотят прибавке. 1)Нет: 0 -10 0 10 ; 2)Да: 0 10 0 -20 Эффект: отсутствует
Король Запада предлагает купить у нас небольшую часть страны. 1)Нет: 0 0 0 -10 ; 2)Да: 0 -20 0 20 Эффект: отсутствует
Нужно установить комендантский час. Улицы столицы опасны по ночам! 1)Нет: 0 -5 -5 0 ; 2)Да: 0 10 10 -20 Эффект: отсутствует
Несколько деревень притворились, что на них напали небесные существа. Уловка, чтобы платить меньше налогов. 1)Я им верю: 0 20 0 -10 ; 2)Что?: 0 -10 0 0 Эффект: отсутствует
Восточные баронства собираются под знаменами ужасного полководца! Пошлите армию! 1)Нет: 0 -20 0 0 ; 2)Да: 0 0 -20 0 Эффект: Война-2
Корабль на карантине. Возможно, это чума. Закрыть на карантин весь порт? 1)Нет: 0 -10 0 10 ; 2)Да: 0 10 10 -20 Эффект: Черная смерть-1
Мы можем организовать вашу свадьбу с принцессой Севера. Это остановит войну. 1)Нет: 0 -10 0 -10 ; 2)Да: 10 10 10 10 Эффект: Народная любимица-2
Купцы хотят создать новую гильдию и посылают своего представителя ко двору. 1)Нет: 0 0 0 -10 ; 2)Да: -10 -10 -10 -10 Эффект: отсутствует
Королева Юга преподнесла вам сорок книг. Нам нужно построить библиотеку! 1)Нет: 10 -10 -10 0 ; 2)Да: -10 20 10 -10 Эффект: отсутствует
Милорд, я Мастер Куртенэ, мастер гильдии купцов. Примите подарок в знак нашего расположения. 1)Я не беру взяток: 10 10 0 0 ; 2)Да: 0 0 0 10 Эффект: отсутствует
Ваши солдаты запугивают некоторых священников и их паству и заставляют их платить за защиту. Остановите их! 1)Нет: -20 -20 0 0 ; 2)Да: 10 10 -10 -10 Эффект: отсутствует
Река Капля снова пересохла. Нам нужно построить плотину. 1)Нет: 0 -20 0 0 ; 2)Да: 0 10 0 -20 Эффект: отсутствует
Милорд, волки пожирают наших детей. Мы можем начать на них охоту? 1)Ты преувеличиваешь: 10 -10 10 -10 ; 2)Я лично этим займусь: 0 10 -10 0 Эффект: отсутствует
Королевство Юга заявляет, что вы должны жениться на их принцессе. Отказ может означать войну 1)Нет: 0 -10 0 0 ; 2)Да: 10 10 10 10 Эффект: Народная любимица-2
Устье реки Капля - опасное болото для путников. Нам нужно хорошенько его почистить. 1)Нет: 0 -20 0 0 ; 2)Да: 0 20 0 -10 Эффект: отсутствует
Нам нужно напасть на королевство на Юге! Их сила растет с каждым днем. 1)Нет: 0 10 0 0 ; 2)Да: 0 0 -20 0 Эффект: Война-2
В горном регионе у восточной границе царит беззаконие и бушует беспорядок 1)Мне все равно: -10 -10 -10 -10 ; 2)Направить солдат: 10 10 -10 0 Эффект: отсутствует
Цены на курицу взмыли до небес! Люди спекулируют на них! Нам нужно заявить, что мы будем регулировать торговлю. 1)Пусть едят говядину: 0 -20 0 0 ; 2)Да: 0 0 0 20 Эффект: отсутствует
Произошел массовый побег из тюрьмы. Нужно организовать розыск. 1)Нет: -10 -10 -10 -10 ; 2)Да: 0 0 -10 0 Эффект: отсутствует
Шахты полны золота, милорд! 1)Я богат!: 0 0 0 30 ; 2)Мы богаты: 10 10 10 10 Эффект: отсутствует
Мы хотим организовать паломничество к могиле Святого Армана. 1)Нет: -10 -10 0 0 ; 2)Да: 10 10 0 -10 Эффект: отсутствует
Мы хотим построить новый рынок, это откроет нашу экономику для международной торговли 1)Нет: 0 -10 0 -20 ; 2)Да: -10 10 0 10 Эффект: Инвестор-2
Землетрясение разрушило большую часть столицы! Городская стража ждет ваших приказаний. 1)Предотвратить мородерсво в столице: 0 -20 10 10 ; 2)Спасать пострадавших: 0 10 0 -20 Эффект: отсутствует
Вождь Востока хочет встретится с вами. Он легко может нас разгромить, нам следует поприветствовать его как короля. 1)Нет: 0 0 -20 -10 ; 2)Да: 0 0 -10 0 Эффект: Война-1
В этом году ничего не происходит просто помирает со скуки. 1)Пусть упражняются: 10 0 -10 0 ; 2)Обеспечить их вином: 0 20 -20 -20 Эффект: отсутствует
Народ считает, что вы хороший король! Нужно повысить налоги. 1)Нет: 0 10 0 0 ; 2)Да: 0 -20 0 20 Эффект: отсутствует
Мы хотим построить школу для просвещения народа. 1)Нет: -10 -10 0 0 ; 2)Да: 10 10 0 -20  Эффект: отсутствует
Чудо свершилось на Юге. Кровавые слезы проступили на глазах статуи пророка. Нам стоит признать чудо истинным 1)Нет: -10 10 0 0 ; 2)Да: 20 -10 -10 -10  Эффект: Божий посланник-2
Черный рынок процветает. Нужно послать армию на улицы города, чтобы разобраться с ними. 1)Нет: 0 10 0 -10 ; 2)Да: 0 -20 -10 10 Эффект: отсутствует
Восточные баронства напали! Мы можем одержать верх только объявить общий призыв. 1)Нет: 0 0 -10 0 ; 2)Да: 0 -20 10 0 Эффект: Война-1
Посол из Восточной страны предлагает вам экономическое содружество. Согласны? 1)Нет: 10 -10 0 -10 ; 2)Да: -10 10 0 20  Эффект: Шелковый путь-2
Глава церкви считает, что вы святой. Папа хочет построить здесь свое представительство. 1)Нет: -20 0 0 0 ; 2)Да: 10 -10 -20 20 Эффект: Божий посланник-2
Люди из западной деревни боятся гоблинов. Кто об этом позаботится? 1)Народ: 20 -10 0 0 ; 2)Церковь: 0 -10 0 0 Эффект: отсутствует
Иностранный купец продает новые земледельческие инструменты. Нам нужно их скопировать. 1)Нет: 0 0 0 10 ; 2)Да: 0 0 0 -20 Эффект: отсутствует
Враги разрушили требушет, чтобы разрушить наши укрепления. 1)Защищаться: 0 -10 -10 0 ; 2)Напасть: 0 0 -20 0 Эффект: отсутствует
Мастер из далеких земель хочет встретиться со своими друзьями-учеными, которые находятся у вас в замке. 1)Позволить: -10 10 0 -10 ; 2)Запретить: -20 -10 0 0 Эффект: отсутствует
Вам предлагают создать музей, чтобы коллекционировать различных тварей. 1)Согласиться: 0 10 0 -10 ; 2)Отказаться: 10 0 0 0 Эффект: отсутствует
Восточные лагеря бандитов нападают! Мы можем победить только если объявим всеобщий призыв. 1)Нет: 0 0 -20 0 ; 2)Да: 0 -20 10 0 Эффект: отсутствует
Ваш народ собирается каждую пятницу, чтобы пропеть песни в вашу честь! 1)Негодование: 0 10 0 0 ; 2)Поощрение: 0 -10 0 0 Эффект: отсутствует
Один из ваших жителей нашел в лесу странный синий гриб. Попробовать? 1)Нет: 0 0 0 0 ; 2)Да: 0 0 0 0  Эффект: Внезапное счастье-2
Народ боится армию и вас лично. 1)Непонимание: 0 10 -10 0 ; 2)Поощрение: 0 -10 10 0 Эффект: отсутствует
Гильдия купцов продает товары, которые ранее изготавливались Аббатством. Остановите это. 1)Нет: -10 0 0 10 ; 2)Да: 20 0 0 -20 Эффект: отсутствует
Руды из наших шахт недостаточно для создания собственного оружия. Покупать руду из других стран? 1)Нет: 0 0 -20 0 ; 2)Да: 0 0 10 -20 Эффект: отсутствует
Мастер хочет провести исследования оружия и военного дела. Помочь? 1)Нет: 0 10 -20 0 ; 2)Да: 0 -10 20 -10 Эффект: отсутствует
Восток планирует нападение. Будем просить помощи у Запада? 1)Нет: 0 -20 -10 0 ; 2)Да: 0 0 10 -20 Эффект: отсутствует
Нам нужно почистить находящееся недалеко болото, оно опасно для путников. 1)Несогласие: 0 -20 0 0 ; 2)Согласие: 0 20 0 -20 Эффект: отсутствует
Милая Леди приглашает вас на Весенний Фестиваль. Она предлагает позвать своих подруг, чтобы развлечь иностранных гостей. 1)Нет: 10 0 0 0 ; 2)Да: -10 10 10 -10 Эффект: отсутствует
Наступила самая лютая зима за долгие годы. Урожая нет, люди голодают. 1)Бездействие: 0 -20 0 0 ; 2)Помочь: 0 -10 0 -10 Эффект: отсутствует
Вам передают новости о прекрасной принцессе, которую держат взаперти в другом королевстве. 1)Пропустить: -10 -10 0 0 ; 2)Помочь: 20 0 -20 0 Эффект: Народная любимица-2
В ваших подземельях нашли неопознанное тело с отрубленными руками. Усилить гарнизон? 1)Нет: 0 0 10 0 ; 2)Да: 0 0 -10 0 Эффект: отсутствует
Новые технологии помогли увеличить урожайность. 1)Плевать: -10 10 0 10 ; 2)Отлично: 0 10 0 10 Эффект: отсутствует
Ваша крепость слаба. Нужно построить новую башню. 1)Нет: 0 -20 -10 10 ; 2)Да: 0 10 0 -20 Эффект: отсутствует
В ваше королевство прибыл Великий Волшебник. Принять его? 1)Нет: 0 0 0 0 ; 2)Да: 0 0 0 0  Эффект: Порча-1
Молодая женщина заявляет, что ее сын - ваш бастард. Поручить вашим слугам решить эту проблему? 1)Нет: 0 0 0 0 ; 2)Да: -10 0 0 -10 Эффект: отсутствует
Святой Отец предлагает вам ввести божье правосудие. 1)Нет: -10 10 0 0 ; 2)Да: 20 -10 0 -10 Эффект: отсутствует
Вождь соседнего королевства хочет встретиться с вами. Он очень опасен. С ним следует быть осторожным. Желаете посетить встречу? 1)Нет: 0 -10 -20 0 ; 2)Да: 0 0 20 0 Эффект: Война-1
Кажется, ваша армия не следит за гигиеной. Нужно потратить деньги на решение этой проблемы. 1)Нет: 0 -10 -10 0 ; 2)Да: 0 0 20 -20 Эффект: отсутствует
Юг просить вас о помощи в конфликте с Западом. Послать тайных наблюдателей, если Юг вам заплатит? 1)Нет: 0 0 0 0 ; 2)Да: 0 0 0 20 Эффект: отсутствует
Ваши подручные встретили женщину, которая разбирается в древнем искусстве растений с целебными свойствами. Это помогло бы вылечить многие болезни в вашем королевстве. Хотите с ней встретиться? 1)Нет: 20 -10 0 0 ; 2)Да: -10 20 0 -10 Эффект: отсутствует
Наши солдаты что-то сделали не так. Теперь мы в состоянии войны со всеми сторонами. Что делать? 1)Нападать: -10 -20 -10 0 ; 2)Защищаться: 0 -10 -20 0 Эффект: Война-1
Народ из деревни рядом учит детей плеваться в людей короля. Подать им пример? 1)Нет: 0 -10 0 0 ; 2)Да: 10 -10 0 0 Эффект: отсутствует
Король Запада приехал к вам с визитом. Принять его? 1)Нет: 0 0 0 0 ; 2)Да: 0 0 0 0 Эффект: отсутствует
Вам предлагают построить госпиталь, что предотвратить рост эпидемии. 1)Нет: -10 -20 0 20 ; 2)Да: 20 -10 0 -10 Эффект: отсутствует
Шахтеры отказываются спускаться в шахту. Поднять им зарплату? 1)Нет: 0 -20 0 0 ; 2)Да: 0 0 0 -10 Эффект: отсутствует
Вам предлагают поучаствовать в охоте на кабанов. Согласиться? 1)Нет: 0 0 0 0 ; 2)Да: -10 0 0 0 Эффект: отсутствует
На вас напали викинги! Нужно оборонять северную сторону. 1)Нет: 0 -10 -10 0 ; 2)Да: 0 0 -20 0 Эффект: Война-1
Народ на севере - безбожники. Построить больше церквей? 1)Нет: -20 0 0 0 ; 2)Да: 10 0 0 -10 Эффект: отсутствует
Женщина с особыми познаниями в сфере чародейств и растений хочет построить больше своих лавок. 1)Отказать: 0 -10 0 0 ; 2)Согласиться: -10 20 0 -10  Эффект: Порча-1
Загадочный голубь принес вам известие, которое гласит о скором нападении неизвестных. Предпринять какие-либо действия? 1)Нет: 0 0 0 0 ; 2)Да: 0 0 10 -10 Эффект: отсутствует
Произошло ограбление. Какой-то наглец и его банда ворвались в сокровищницу. Отыскать его? 1)Нет: 0 0 0 -20 ; 2)Да: 0 0 -10 10 Эффект: отсутствует
Волки пожирают ваших детей. Начать охоту на волков? 1)Нет: 0 -10 10 0 ; 2)Да: 0 0 -10 -10 Эффект: отсутствует
Мастер по оружию хочет стать палачом. 1)Запретить: 10 -10 0 0 ; 2)Позволить: -10 -10 0 0 Эффект: отсутствует
Ваши солдаты запугивают священников беспричинно. Вмешаться? 1)Нет: -20 0 10 0 ; 2)Да: 10 0 -10 0 Эффект: отсутствует
Возможно, в ваше королевство проникла чума с прибывшего в порт корабля. Закрыть порт на карантин? 1)Нет: 0 -20 0 -20 ; 2)Да: 0 10 -10 -10 Эффект: Черная смерть-1
Ведьма предлагает обучить вас некой магии. 1)Нет: 0 0 0 0 ; 2)Да: 0 -10 0 -10 Эффект: отсутствует
Вам передали сообщение, в котором находятся угрозы лично вам. Послать людей к границе? 1)Нет: 0 -10 -10 0 ; 2)Да: 0 10 -10 -10 Эффект: отсутствует
Все больше и больше скота гибнет от эпидемии. Помочь фермерам? 1)Нет: 0 -20 0 0 ; 2)Да: 0 -10 0 -10 Эффект: отсутствует
Наша армия сильна. Мы побеждаем. Настоять на мирных соглашениях? 1)Нет: -10 0 -10 0 ; 2)Да: 10 0 10 0 Эффект: отсутствует
Обнимашки? 1)Нет: 0 -10 0 0 ; 2)Да: 0 10 0 0 Эффект: отсутствует
Ваш шут передает вам, что он видит удачу впереди вас. 1)Ясно: 0 0 0 0 ; 2)Понятно: 0 0 0 0 Эффект: отсутствует
Это самая лютая зима за последние 30 лет. После скудного урожая люди голодают. 1)Я не могу помоч!: 0 -20 0 0 ; 2)Поделиться провиантом: 0 10 0 -20 Эффект: Голод-1
Благодаря нашим усилиям по регулированию торговли экономика процветает! Нужно создать центральный банк. 1)Нет: 0 0 0 -10 ; 2)Да: -20 0 0 10 Эффект: Инвестор-2
У меня есть знакомый, очень знаменитый менестрель. Наполните воздух сладкозвучной музыкой! 1)Нет: -10 -10 -10 0 ; 2)Да: 10 10 10 -10 Эффект: отсутствует
Посол восточных баронств уже в пути. Заключить его под стражу и отправить им его голову? 1)Нет: 0 0 0 0 ; 2)Да: 0 0 0 0 Эффект: Война-2
Урожай ужасный, люди голодают. Сир, умоляю, снизьте налоги. 1)Да как ты смеешь!: 10 -10 10 0 ; 2)Да: -10 20 -10 -20 Эффект: Голод-1
Церковь заявляет, что бущующая эпидемия дизентерии - Промысел Божий и несет Любовь в мир. 1)Нет, я...: -10 0 0 0 ; 2)Да: 10 0 0 0 Эффект: Черная смерть-2
В столице вспышка холеры! Это Синяя смерть! 1)Закрыть ворота замка: -10 -10 -10 0 ; 2)Лечить население: 10 10 10 -20 Эффект: Черная смерть-1
Сир! Ваша моча пахнет рододендронами нынче утром. Лучше вам пока не ездить верхом. 1)Нет: 0 0 10 0 ; 2)Да: 0 0 -10 0 Эффект: отсутствует
Генерал Бломингтон - лосось, плывущий против течения. 1)Забудь...: 0 0 10 0 ; 2)Ну если ты говоришь...: 0 0 -10 0 Эффект: отсутствует
Чирик! 1)Чья это птица?: 0 0 0 0 ; 2)Спасибо: 0 0 0 0 Эффект: отсутствует
Это ваш 35-й день рождения. Нужно отпразновать 1)Нет: 0 0 0 0 ; 2)Пируем!: 10 10 10 -20 Эффект: отсутствует
В Церкви начался раскол! Вам нужно дать больше власти церкви, или последствия будут ужасны! 1)Нет: -10 -10 0 0 ; 2)Да: 10 0 0 0 Эффект: Божий посланник-2
